iter	Passed	Remaining
0	4	4082
1	7	3660
2	10	3488
3	13	3419
4	17	3403
5	19	3249
6	22	3230
7	25	3216
8	29	3205
9	33	3276
10	36	3317
11	40	3305
12	43	3283
13	46	3296
14	49	3280
15	53	3267
16	56	3253
17	59	3240
18	63	3276
19	67	3292
20	71	3321
21	74	3330
22	79	3356
23	83	3379
24	87	3393
25	91	3426
26	96	3473
27	102	3565
28	107	3585
29	111	3596
30	115	3603
31	120	3656
32	125	3678
33	130	3695
34	134	3698
35	138	3711
36	142	3712
37	146	3711
38	150	3719
39	154	3717
40	159	3719
41	163	3720
42	167	3726
43	171	3724
44	175	3716
45	178	3697
46	181	3681
47	184	3665
48	188	3648
49	191	3631
50	194	3614
51	198	3617
52	201	3602
53	204	3588
54	207	3573
55	211	3562
56	214	3547
57	217	3533
58	221	3530
59	227	3557
60	231	3558
61	235	3559
62	239	3565
63	245	3585
64	250	3596
65	254	3597
66	258	3593
67	262	3591
68	265	3585
69	270	3588
70	274	3591
71	278	3587
72	282	3588
73	286	3586
74	290	3587
75	294	3575
76	297	3563
77	300	3552
78	303	3541
79	306	3529
80	310	3517
81	313	3506
82	316	3495
83	319	3485
84	322	3475
85	326	3466
86	329	3461
87	333	3452
88	336	3443
89	339	3433
90	342	3423
91	347	3428
92	351	3432
93	355	3424
94	358	3415
95	361	3408
96	365	3400
97	368	3391
98	371	3382
99	375	3376
100	378	3370
101	381	3363
102	385	3353
103	388	3344
104	391	3338
105	395	3339
106	399	3335
107	403	3332
108	408	3338
109	412	3338
110	416	3335
111	419	3328
112	423	3321
113	426	3313
114	429	3305
115	432	3297
116	435	3289
117	438	3280
118	442	3274
119	446	3276
120	450	3269
121	453	3261
122	456	3254
123	459	3249
124	463	3242
125	466	3234
126	469	3225
127	472	3219
128	475	3211
129	478	3204
130	481	3196
131	484	3189
132	488	3182
133	491	3175
134	494	3169
135	497	3162
136	500	3155
137	504	3152
138	507	3146
139	511	3139
140	514	3133
141	517	3126
142	520	3120
143	523	3114
144	527	3107
145	530	3100
146	533	3096
147	536	3090
148	540	3084
149	543	3078
150	546	3072
151	549	3066
152	552	3060
153	554	3048
154	558	3042
155	561	3036
156	564	3032
157	567	3026
158	570	3019
159	574	3013
160	577	3007
161	580	3003
162	583	2997
163	586	2991
164	589	2985
165	593	2979
166	596	2974
167	599	2968
168	602	2964
169	606	2958
170	609	2953
171	612	2947
172	615	2941
173	618	2936
174	621	2930
175	624	2925
176	627	2919
177	631	2914
178	634	2909
179	637	2904
180	640	2900
181	644	2894
182	647	2889
183	650	2885
184	654	2881
185	657	2877
186	660	2873
187	663	2867
188	667	2862
189	670	2859
190	673	2854
191	677	2849
192	680	2844
193	683	2838
194	687	2838
195	690	2834
196	694	2829
197	697	2823
198	700	2819
199	703	2814
200	706	2809
201	709	2804
202	713	2799
203	716	2795
204	719	2791
205	722	2786
206	726	2781
207	729	2777
208	732	2772
209	735	2768
210	738	2763
211	742	2758
212	745	2754
213	748	2750
214	752	2746
215	755	2741
216	758	2736
217	761	2732
218	764	2727
219	768	2723
220	771	2717
221	774	2713
222	777	2709
223	780	2704
224	784	2700
225	787	2695
226	790	2691
227	793	2687
228	796	2682
229	799	2677
230	802	2672
231	806	2668
232	809	2663
233	812	2659
234	815	2654
235	818	2650
236	822	2648
237	825	2643
238	828	2639
239	832	2635
240	835	2630
241	838	2626
242	841	2622
243	844	2617
244	847	2612
245	851	2608
246	854	2604
247	857	2600
248	860	2595
249	863	2591
250	867	2587
251	870	2582
252	873	2578
253	876	2573
254	879	2569
255	882	2565
256	886	2561
257	889	2557
258	892	2552
259	895	2548
260	898	2544
261	901	2540
262	904	2536
263	908	2531
264	911	2528
265	915	2525
266	918	2522
267	921	2518
268	925	2514
269	928	2511
270	931	2506
271	935	2502
272	938	2498
273	941	2494
274	944	2490
275	947	2486
276	950	2481
277	953	2477
278	957	2473
279	960	2468
280	963	2464
281	966	2460
282	969	2456
283	972	2453
284	976	2449
285	979	2445
286	982	2440
287	985	2436
288	988	2432
289	991	2428
290	995	2424
291	998	2420
292	1001	2416
293	1004	2412
294	1007	2408
295	1010	2403
296	1013	2399
297	1017	2396
298	1020	2392
299	1023	2388
300	1026	2384
301	1029	2380
302	1033	2376
303	1036	2373
304	1039	2369
305	1042	2365
306	1045	2360
307	1050	2359
308	1054	2357
309	1058	2356
310	1063	2355
311	1067	2353
312	1071	2351
313	1074	2347
314	1078	2344
315	1081	2340
316	1084	2336
317	1087	2332
318	1090	2328
319	1094	2325
320	1097	2321
321	1100	2317
322	1103	2312
323	1107	2309
324	1111	2308
325	1114	2304
326	1117	2299
327	1120	2295
328	1124	2292
329	1127	2288
330	1130	2284
331	1133	2280
332	1136	2277
333	1140	2274
334	1143	2270
335	1146	2266
336	1149	2262
337	1152	2258
338	1156	2254
339	1159	2250
340	1162	2245
341	1165	2241
342	1168	2238
343	1171	2234
344	1175	2230
345	1178	2227
346	1181	2223
347	1184	2220
348	1188	2216
349	1191	2212
350	1194	2208
